,P_MPa,H2O,CO2,H2Om,OHm
0,360.3125,4.2,900.0,2.324977354492712,1.8756596277359443
1,360.25,4.2,899.82,2.3249773039628723,1.8756595508500218
2,360.1875,4.19909,899.6400000000001,2.3241736422623025,1.875552947177232
3,360.125,4.19916,899.4600000000002,2.3242354059948926,1.8755610666665008
4,360.125,4.19923,899.2800000000002,2.324297170057797,1.8755691858212158
5,360.0625,4.1993,899.1000000000003,2.3243589344510047,1.8755773046413875
6,360.0625,4.19937,898.9200000000003,2.324420699174505,1.875585423127029
7,360.0,4.199335,898.7400000000004,2.3243897410417635,1.8755812485624115
8,360.0,4.199334416666666,898.5600000000004,2.324389175428678,1.8755811033583005
9,359.9375,4.199334406944444,898.3800000000005,2.3243891163568513,1.8755810253109233
10,359.9375,4.199334406782407,898.2000000000005,2.3243890657274,1.8755809483828132
11,359.875,4.199334406779706,898.0200000000006,2.324389015238674,1.8755808714733437
12,359.75,4.198284573177966,897.8400000000006,2.3234619222046455,1.8754578446720116
13,359.75,4.198809489978813,897.6600000000007,2.3239253834822864,1.8755192522347317
14,359.75,4.198800741365465,897.4800000000007,2.3239176076793586,1.8755181507216447
15,359.75,4.198800595555243,897.3000000000008,2.323917428472018,1.875518056717443
16,359.6875,4.198800593125072,897.1200000000008,2.3239173758745695,1.875517979505093
17,359.625,4.198800593084569,896.9400000000009,2.323917325387307,1.8755179025725925
18,359.5625,4.197750892935623,896.7600000000009,2.3229903894596635,1.8753948523451713
19,359.5625,4.198275743009758,896.580000000001,2.323453772236204,1.8754562715928882
20,359.5,4.198266995508523,896.400000000001,2.3234459977770503,1.875455169866138
21,359.5,4.198266849716836,896.220000000001,2.323445818626364,1.8754550758400854
22,359.4375,4.198266847286974,896.0400000000011,2.323445766064118,1.8754549986090803
23,359.3125,4.197217280534666,895.8600000000012,2.3225189871194964,1.8753319249908664
24,359.3125,4.197742063890572,895.6800000000012,2.322982291439278,1.875393355903658
25,359.3125,4.1977333175013065,895.5000000000013,2.322974518323132,1.875392253963595
26,359.25,4.197733171728152,895.3200000000013,2.322974339229061,1.8753921599157126
27,359.25,4.1977331692985995,895.1400000000014,2.322974286701992,1.875392082666069
28,359.1875,4.197733169258107,894.9600000000014,2.322974236284393,1.875392005696383
29,359.1875,4.197733169257432,894.7800000000015,2.3229741859019732,1.875391928731351
30,359.0625,4.196683735965107,894.6000000000015,2.3220475641273626,1.8752688316623594
31,359.0625,4.197208452611264,894.4200000000016,2.3225107899324025,1.8753302742748863
32,359.0625,4.197199707333828,894.2400000000016,2.3225030181602695,1.8753291721209067
33,359.0,4.197199561579204,894.0600000000017,2.3225028391228686,1.8753290780511616
34,359.0,4.1971995591499605,893.8800000000017,2.322502786631014,1.8753290007828551
35,358.9375,4.197199559109473,893.7000000000018,2.322502736248272,1.8753289237945603
36,358.875,4.197199559108798,893.5200000000018,2.3225026859007025,1.8753288468109197
37,358.8125,4.196150259219021,893.3400000000019,2.321576221239867,1.8752057262898814
38,358.75,4.196185235882013,893.1600000000019,2.321607050205875,1.8752097519525028
39,358.75,4.196220212545006,892.980000000002,2.3216378792522048,1.875213777532689
40,358.6875,4.19620272421351,892.800000000002,2.3216223892958987,1.8752116492256032
41,358.6875,4.196202432741319,892.620000000002,2.3216220816861712,1.8752115380190406
42,358.625,4.196202427883449,892.4400000000021,2.3216220271153736,1.8752114604309984
43,358.625,4.1962024278024845,892.2600000000022,2.321621976761914,1.875211383403249
44,358.5625,4.196202427801135,892.0800000000022,2.321621926478766,1.8752113063848261
45,358.4375,4.1951533771941625,891.9000000000023,2.320695755060501,1.875088142226461
46,358.4375,4.195677902497637,891.7200000000023,2.321158755837467,1.8751496183033936
